id	status	url	output
Byleth	missing		assets/characters/protagonist/Byleth/references/official_local/professor/fireemblemwiki_main.png
Jeralt	downloaded	https://cdn.fireemblemwiki.org/8/8a/FETH_Jeralt.png	assets/characters/protagonist/Jeralt/references/official_local/mercenary/fireemblemwiki_main.png
Sothis	downloaded	https://cdn.fireemblemwiki.org/c/c5/FETH_Sothis.png	assets/characters/divine/Sothis/references/official_local/dream/fireemblemwiki_main.png
Edelgard	downloaded	https://cdn.fireemblemwiki.org/c/ce/FETH_Edelgard_02.png	assets/characters/black_eagles/Edelgard/references/official_local/academy/fireemblemwiki_main.png
Hubert	downloaded	https://cdn.fireemblemwiki.org/f/fc/FETH_Hubert.png	assets/characters/black_eagles/Hubert/references/official_local/academy/fireemblemwiki_main.png
Ferdinand	downloaded	https://cdn.fireemblemwiki.org/0/0b/FETH_Ferdinand.png	assets/characters/black_eagles/Ferdinand/references/official_local/academy/fireemblemwiki_main.png
Linhardt	missing		assets/characters/black_eagles/Linhardt/references/official_local/academy/fireemblemwiki_main.png
Caspar	downloaded	https://cdn.fireemblemwiki.org/a/a1/FETH_Caspar.png	assets/characters/black_eagles/Caspar/references/official_local/academy/fireemblemwiki_main.png
Bernadetta	downloaded	https://cdn.fireemblemwiki.org/a/a5/FETH_Bernadetta.png	assets/characters/black_eagles/Bernadetta/references/official_local/academy/fireemblemwiki_main.png
Dorothea	downloaded	https://cdn.fireemblemwiki.org/c/cb/FETH_Dorothea_02.png	assets/characters/black_eagles/Dorothea/references/official_local/academy/fireemblemwiki_main.png
Petra	downloaded	https://cdn.fireemblemwiki.org/b/bb/FETH_Petra.png	assets/characters/black_eagles/Petra/references/official_local/academy/fireemblemwiki_main.png
Dimitri	missing		assets/characters/blue_lions/Dimitri/references/official_local/academy/fireemblemwiki_main.png
Dedue	downloaded	https://cdn.fireemblemwiki.org/e/ee/FETH_Dedue.png	assets/characters/blue_lions/Dedue/references/official_local/academy/fireemblemwiki_main.png
Felix	downloaded	https://cdn.fireemblemwiki.org/c/c6/FETH_Felix.png	assets/characters/blue_lions/Felix/references/official_local/academy/fireemblemwiki_main.png
Ashe	downloaded	https://cdn.fireemblemwiki.org/9/99/FETH_Ashe_02.png	assets/characters/blue_lions/Ashe/references/official_local/academy/fireemblemwiki_main.png
Sylvain	downloaded	https://cdn.fireemblemwiki.org/e/ef/FETH_Sylvain.png	assets/characters/blue_lions/Sylvain/references/official_local/academy/fireemblemwiki_main.png
Mercedes	downloaded	https://cdn.fireemblemwiki.org/1/1a/FETH_Mercedes.png	assets/characters/blue_lions/Mercedes/references/official_local/academy/fireemblemwiki_main.png
Annette	downloaded	https://cdn.fireemblemwiki.org/7/75/FETH_Annette.png	assets/characters/blue_lions/Annette/references/official_local/academy/fireemblemwiki_main.png
Ingrid	downloaded	https://cdn.fireemblemwiki.org/5/5e/FETH_Ingrid_02.png	assets/characters/blue_lions/Ingrid/references/official_local/academy/fireemblemwiki_main.png
Claude	missing		assets/characters/golden_deer/Claude/references/official_local/academy/fireemblemwiki_main.png
Lorenz	missing		assets/characters/golden_deer/Lorenz/references/official_local/academy/fireemblemwiki_main.png
Raphael	downloaded	https://cdn.fireemblemwiki.org/2/2f/FETH_Raphael.png	assets/characters/golden_deer/Raphael/references/official_local/academy/fireemblemwiki_main.png
Ignatz	downloaded	https://cdn.fireemblemwiki.org/4/47/FETH_Ignatz.png	assets/characters/golden_deer/Ignatz/references/official_local/academy/fireemblemwiki_main.png
Lysithea	downloaded	https://cdn.fireemblemwiki.org/7/7f/FETH_Lysithea.png	assets/characters/golden_deer/Lysithea/references/official_local/academy/fireemblemwiki_main.png
Marianne	downloaded	https://cdn.fireemblemwiki.org/7/7f/FETH_Marianne.png	assets/characters/golden_deer/Marianne/references/official_local/academy/fireemblemwiki_main.png
Hilda	downloaded	https://cdn.fireemblemwiki.org/b/b3/FETH_Hilda_01.png	assets/characters/golden_deer/Hilda/references/official_local/academy/fireemblemwiki_main.png
Leonie	downloaded	https://cdn.fireemblemwiki.org/a/a7/FETH_Leonie.png	assets/characters/golden_deer/Leonie/references/official_local/academy/fireemblemwiki_main.png
Rhea	downloaded	https://cdn.fireemblemwiki.org/0/0d/FETH_Rhea_02.png	assets/characters/church_of_seiros/Rhea/references/official_local/archbishop/fireemblemwiki_main.png
Seteth	downloaded	https://cdn.fireemblemwiki.org/3/37/FETH_Seteth_02.png	assets/characters/church_of_seiros/Seteth/references/official_local/academy/fireemblemwiki_main.png
Flayn	downloaded	https://cdn.fireemblemwiki.org/1/19/FETH_Flayn.png	assets/characters/church_of_seiros/Flayn/references/official_local/academy/fireemblemwiki_main.png
Hanneman	downloaded	https://cdn.fireemblemwiki.org/4/41/FETH_Hanneman.png	assets/characters/church_of_seiros/Hanneman/references/official_local/academy/fireemblemwiki_main.png
Manuela	downloaded	https://cdn.fireemblemwiki.org/5/51/FETH_Manuela.png	assets/characters/church_of_seiros/Manuela/references/official_local/academy/fireemblemwiki_main.png
Alois	downloaded	https://cdn.fireemblemwiki.org/d/d2/FETH_Alois.png	assets/characters/church_of_seiros/Alois/references/official_local/academy/fireemblemwiki_main.png
Catherine	downloaded	https://cdn.fireemblemwiki.org/4/40/FETH_Catherine.png	assets/characters/church_of_seiros/Catherine/references/official_local/academy/fireemblemwiki_main.png
Shamir	downloaded	https://cdn.fireemblemwiki.org/0/02/FETH_Shamir.png	assets/characters/church_of_seiros/Shamir/references/official_local/academy/fireemblemwiki_main.png
Cyril	downloaded	https://cdn.fireemblemwiki.org/2/2f/FETH_Cyril.png	assets/characters/church_of_seiros/Cyril/references/official_local/academy/fireemblemwiki_main.png
Gilbert	downloaded	https://cdn.fireemblemwiki.org/e/e6/FETH_Gilbert.png	assets/characters/church_of_seiros/Gilbert/references/official_local/academy/fireemblemwiki_main.png
Jeritza	missing		assets/characters/church_of_seiros/Jeritza/references/official_local/academy/fireemblemwiki_main.png
DeathKnight	missing		assets/characters/antagonists/DeathKnight/references/official_local/concept/fireemblemwiki_main.png
FlameEmperor	downloaded	https://cdn.fireemblemwiki.org/c/ce/FETH_Edelgard_02.png	assets/characters/antagonists/FlameEmperor/references/official_local/concept/fireemblemwiki_main.png
Solon	missing		assets/characters/antagonists/Solon/references/official_local/concept/fireemblemwiki_main.png
Kronya	downloaded	https://cdn.fireemblemwiki.org/e/e2/FETH_Kronya.png	assets/characters/antagonists/Kronya/references/official_local/concept/fireemblemwiki_main.png
Thales	downloaded	https://cdn.fireemblemwiki.org/7/73/FETH_Thales.png	assets/characters/antagonists/Thales/references/official_local/concept/fireemblemwiki_main.png
Nemesis	missing		assets/characters/antagonists/Nemesis/references/official_local/concept/fireemblemwiki_main.png
Kostas	downloaded	https://cdn.fireemblemwiki.org/8/82/Portrait_kostas_fewa2.png	assets/characters/antagonists/Kostas/references/official_local/legacy_ep01/fireemblemwiki_main.png
