id	era	old_selected_sha256	new_latest_sha256	latest_candidate	selected_candidate
Dorothea	academy	0da2f92ef68e329ca690fae74c31a575e19409bf81934eaa6fd1c2801ce40094	f047e195ccd7edbdcee760100a28ca8ecf769a6cd048d3648380d1bba35e9f8f	assets/characters/black_eagles/Dorothea/academy/candidates_reference_v1/candidate_01.png	assets/characters/black_eagles/Dorothea/academy/selected.png
Petra	academy	c530d86f285ff34a453c4f994e0ba2ed816e9821106d4003dbc5fb76259d8aea	adc70ba615ee9bfc60fa6e6ccaf1525632b179c72d777dcded87ae3277d6f873	assets/characters/black_eagles/Petra/academy/candidates_reference_v1/candidate_01.png	assets/characters/black_eagles/Petra/academy/selected.png
Dedue	academy	a727b79e188bab1db17d0fb5c207d9ec0709122c604b69c918ecfc3e4d3c17e8	e076d0038b546f33888ddb605ecaf01f6c87f1138246535c530f2f286c7bb1a9	assets/characters/blue_lions/Dedue/academy/candidates_reference_v1/candidate_01.png	assets/characters/blue_lions/Dedue/academy/selected.png
Felix	academy	52bef07100e3b72d536d677ac444e249dec029aedef7c70368b263ff465fe970	9192c79bc8d3bf64737fcb5310edf51b054fbd563e9e4db2b8fe8cead3959007	assets/characters/blue_lions/Felix/academy/candidates_reference_v1/candidate_01.png	assets/characters/blue_lions/Felix/academy/selected.png
Ashe	academy	28dbd02ec6218394cfbc2b2c94f44abdffa2c99f26d01765d0f7f7aa21bd9290	a4112998c8498c415a3af5d05577caa488fdff716d3f695ff70295b7a6a0c502	assets/characters/blue_lions/Ashe/academy/candidates_reference_v1/candidate_01.png	assets/characters/blue_lions/Ashe/academy/selected.png
Sylvain	academy	3ec5d1a6dc328c07e09e51cecabcdf87cc6494737baddc0b874fe8bd56abe06e	79f779a86bd9c4043a100328bd509f4d77f6d6f7228efb81d8df9441bbe2fed2	assets/characters/blue_lions/Sylvain/academy/candidates_reference_v1/candidate_01.png	assets/characters/blue_lions/Sylvain/academy/selected.png
Mercedes	academy	8b7fe2252cb930ca997184eec395907a4ced794bd4bc24016937c1556f0d4966	632e8c8cde80f4eee92cf054fc49ceeff0792cd760204d37219245cdcd09b28a	assets/characters/blue_lions/Mercedes/academy/candidates_reference_v1/candidate_01.png	assets/characters/blue_lions/Mercedes/academy/selected.png
Annette	academy	142f4a39eab9cfcee27939b8d0fbd867e6b7484d195cce39fae7037317fe7305	b439455d3cee8f1b34d1a020f8588a06f91182e2d8c0b68a8b34c66f4a1980e3	assets/characters/blue_lions/Annette/academy/candidates_reference_v1/candidate_01.png	assets/characters/blue_lions/Annette/academy/selected.png
Ingrid	academy	7fa109e750b62ff3f6b0f35f825d1b21138bbddf1690414a418e8d761ee9042a	fb02b9e3f95dfe87a3e5e56ee5a7bcd27b215ea439400d9c1ea2ffbf60752eaf	assets/characters/blue_lions/Ingrid/academy/candidates_reference_v1/candidate_01.png	assets/characters/blue_lions/Ingrid/academy/selected.png
Lorenz	academy	32be205d918fa58f6f6bb7da95930feeee2f8357836ea20ed18f64ca4eee6d5a	3a60d47d6a2ddb8a427b172ef2ef4f2ca9f6cd690677ca93d0a0c199628527e5	assets/characters/golden_deer/Lorenz/academy/candidates_reference_v1/candidate_01.png	assets/characters/golden_deer/Lorenz/academy/selected.png
Raphael	academy	d2a81431a82209309ab032db6acc713cd2a0f456ab110465676135390a34c24d	db411979b83e340a0dd23bd81ce9df62aceb98842bf1e0649456a139d105580a	assets/characters/golden_deer/Raphael/academy/candidates_reference_v1/candidate_01.png	assets/characters/golden_deer/Raphael/academy/selected.png
Ignatz	academy	bf0238624decb9480d6cc04e1aace01f96fcdbfdae1c05ef3e16f988a02e9205	0efa75794a70a16b3399512434154fc3a63cab08b064d76abecc0a43644e7196	assets/characters/golden_deer/Ignatz/academy/candidates_reference_v1/candidate_01.png	assets/characters/golden_deer/Ignatz/academy/selected.png
Lysithea	academy	6e60bb451e95e61e2a100717675d81e0c764852da53b45a7faff0d4f69224423	b4bc9f670d376532919c3ce86f8b93765d71070671762474f5593e355713b69e	assets/characters/golden_deer/Lysithea/academy/candidates_reference_v1/candidate_01.png	assets/characters/golden_deer/Lysithea/academy/selected.png
Marianne	academy	73561527282110ee6219d4854598c1b2f828b966f7aee200ae234edf8f7fe00a	9c3b44e52195448766cb11c9b257eb7d42654273ae152a4a4bd5872a48f9c32d	assets/characters/golden_deer/Marianne/academy/candidates_reference_v1/candidate_01.png	assets/characters/golden_deer/Marianne/academy/selected.png
Hilda	academy	7d95efcd1e59352437d898e07f7a556e8f7453d6c376108c715be0324b4ed0b7	b395b745d7d261afe3d23d4d14bb8048ccfeb677698571530ffb1f2a5d050cce	assets/characters/golden_deer/Hilda/academy/candidates_reference_v1/candidate_01.png	assets/characters/golden_deer/Hilda/academy/selected.png
Leonie	academy	5b563ba1bdca0aec3e83bc9e8e075ef921ecdc648ac45f3b716dec1bc0a9cbac	115e27f82360ea8518cc0db21c0b2d28982c7a96f3d4472e1a55815319054bf4	assets/characters/golden_deer/Leonie/academy/candidates_reference_v1/candidate_01.png	assets/characters/golden_deer/Leonie/academy/selected.png
